feature,importance_gain
feature_460,12.208800315856934
feature_1262,12.027999877929688
feature_365,11.999699592590332
feature_151,11.857500076293945
feature_121,11.844099998474121
feature_770,11.831899642944336
feature_619,11.730199813842773
feature_222,11.723199844360352
feature_213,11.702699661254883
feature_393,11.622599601745605
feature_1191,11.436400413513184
feature_926,11.355999946594238
feature_161,11.306500434875488
feature_728,11.082500457763672
feature_1239,10.899299621582031
feature_832,10.7923002243042
feature_515,10.777899742126465
feature_1240,10.757499694824219
feature_30,10.674500465393066
feature_8,10.604599952697754
feature_153,10.482600212097168
feature_136,10.401200294494629
feature_497,10.382599830627441
feature_1145,9.95652961730957
feature_255,9.833499908447266
feature_1253,9.747380256652832
feature_1287,9.569640159606934
feature_143,9.510319709777832
feature_402,9.29500961303711
feature_1246,9.197500228881836
feature_746,9.188619613647461
feature_418,9.006179809570312
feature_760,8.995010375976562
feature_678,8.845279693603516
feature_966,8.814929962158203
feature_176,8.628979682922363
feature_1294,8.25924015045166
feature_921,8.15764045715332
feature_1182,8.153030395507812
feature_133,8.110469818115234
feature_330,7.966000080108643
feature_194,7.860399961471558
feature_1328,7.683070182800293
feature_391,7.6568498611450195
feature_457,7.596260070800781
feature_434,7.508430004119873
feature_765,7.346169948577881
feature_955,6.919290065765381
feature_91,6.89844012260437
feature_147,6.801650285720825
feature_167,5.7318501472473145
feature_1125,5.2883100509643555
feature_346,4.805830001831055
feature_454,4.3680100440979
feature_559,2.5165700912475586
feature_303,2.270509958267212
feature_731,2.175950050354004
feature_106,1.8458499908447266
feature_510,1.8296699523925781
feature_264,1.2369999885559082
feature_85,7.788489892845973e-05
feature_910,0.0
feature_916,0.0
feature_993,0.0
feature_992,0.0
feature_909,0.0
feature_904,0.0
feature_908,0.0
feature_915,0.0
feature_907,0.0
feature_994,0.0
feature_906,0.0
feature_903,0.0
feature_914,0.0
feature_905,0.0
feature_913,0.0
feature_912,0.0
feature_911,0.0
feature_973,0.0
feature_902,0.0
feature_893,0.0
feature_1012,0.0
feature_895,0.0
feature_894,0.0
feature_1014,0.0
feature_1364,0.0
feature_1015,0.0
feature_1016,0.0
