feature,corr_value
feature_398,0.01305873446772145
feature_467,0.012965276597809064
feature_8,0.012956158683254398
feature_806,0.012940773030842215
feature_1194,0.012888808775148454
feature_15,0.012885772633739533
feature_216,0.012848202843308489
feature_39,0.012806215126548387
feature_345,0.012770606295348779
feature_384,0.012718938441227812
feature_385,0.012708457729635638
feature_38,0.012687276228934279
feature_257,0.01267970817958155
feature_110,0.012625621990769852
feature_390,0.012582769284186165
feature_120,0.012555349295578364
feature_35,0.012527032861619661
feature_337,0.012503515410554287
feature_360,0.012400271001586869
feature_1122,0.012321973066567755
feature_389,0.012308862985387305
feature_284,0.012300953816011264
feature_1074,0.01228838292529102
feature_40,0.01225322491231554
feature_22,0.012207494537175958
feature_77,0.012007351103782773
feature_1127,0.011971753062293202
feature_1151,0.011940382110106956
feature_346,0.011905029906310038
feature_912,0.011895994895058616
feature_316,0.011770963702118206
feature_793,0.011765618820830957
feature_1128,0.011736206952895846
feature_1125,0.011735779214802866
feature_1126,0.011694084956155459
feature_231,0.011693075272113164
feature_333,0.011569936468386454
feature_151,0.011503017403045926
feature_401,0.011502437660211728
feature_1158,0.011466920748127295
feature_16,0.011454754557654436
feature_378,0.011444707249839448
feature_7,0.011382598981273518
feature_1181,0.01132979839924665
feature_277,0.011295425879500234
feature_1195,0.011199550685873173
feature_1157,0.011190027936892347
feature_399,0.011149908854347815
feature_14,0.011103436664712706
feature_478,0.011088995370562005
feature_262,0.01103920800146114
feature_1136,0.011011731242862017
feature_104,0.010996589093882571
feature_1201,0.01099095371236696
feature_288,0.010964723920106962
feature_707,0.010961637716968245
feature_1152,0.010920662191932688
feature_238,0.010918335522787445
feature_1182,0.01087653325618858
feature_36,0.010870895202562418
feature_236,0.01082376951648346
feature_29,0.010820900656046904
feature_266,0.010790341902930333
feature_1156,0.010732901123407025
feature_339,0.010698376677348928
feature_213,0.010570013915830479
feature_56,0.010567534184035627
feature_1205,0.01056604133348921
feature_180,0.01055894968814978
feature_1115,0.010556195309094669
feature_181,0.010544259538319034
feature_468,0.010538811230670063
feature_1159,0.010515397052429489
feature_1160,0.010513129519120217
feature_351,0.01048982157246581
feature_537,0.010419335992164689
feature_331,0.010386834916793776
feature_1155,0.01033130985573653
feature_43,0.010227592767285045
feature_1149,0.01022177213021164
feature_117,0.01020764020273582
feature_287,0.01017861719060956
feature_41,0.010162937838477116
feature_270,0.010145595978707057
feature_1209,0.010122102599055723
feature_1184,0.010110055427432084
feature_170,0.010101256140183324
feature_1199,0.010068372233918387
feature_71,0.010065522290949362
feature_278,0.010021480994845757
feature_281,0.010014633503408926
feature_336,0.010012572592447757
feature_239,0.00998445247345569
feature_10,0.009974995480901852
feature_1147,0.009910198412655044
feature_1121,0.009885053430805493
feature_1092,0.009865943980994846
feature_344,0.009864038690682128
feature_76,0.009836656509174172
feature_1161,0.0097911923547219
feature_826,0.009719249719412697
feature_84,0.009686790210550206
feature_280,0.00966084215149852
feature_369,0.009576340342209808
feature_254,0.009568062582879623
feature_1208,0.009566994045844369
feature_485,0.009535582311119322
feature_395,0.009499326776879802
feature_1150,0.009454521619388869
feature_1148,0.009409597711892901
feature_1138,0.00938022241358366
feature_474,0.009367342446356026
feature_1103,0.009355303405445967
feature_196,0.00935408519291012
feature_382,0.009294310554851264
feature_42,0.009220395005249881
feature_319,0.009201755705201634
feature_1204,0.009199704524037811
feature_285,0.009198148112923583
feature_128,0.009186030366748765
feature_221,0.009173247519556626
feature_469,0.009106163776075784
feature_1183,0.009075939810187483
feature_67,0.009051599175997781
feature_111,0.009042799385329155
feature_47,0.00902660282562961
feature_330,0.009025995985920424
feature_70,0.009015826113772359
feature_1116,0.008991559288876277
feature_258,0.00897405719766758
feature_1154,0.008955335250278315
feature_95,0.008780906339609635
feature_312,0.008776409146759702
feature_1153,0.008773489238018893
feature_343,0.008756050897049186
feature_1200,0.008690347988135855
feature_396,0.008683132392170341
feature_1162,0.008658583903715374
feature_1089,0.008641389353040813
feature_477,0.00861135910538677
feature_1180,0.008584145590162759
feature_108,0.008574442485386658
feature_256,0.008567623564838736
